period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-11-24 18:00:00,NY,New York,WAT,Hydro,3154,megawatthours
2024-11-24 17:00:00,NY,New York,WAT,Hydro,3152,megawatthours
2024-11-24 16:00:00,NY,New York,WAT,Hydro,3135,megawatthours
2024-11-24 15:00:00,NY,New York,WAT,Hydro,3203,megawatthours
2024-11-24 14:00:00,NY,New York,WAT,Hydro,2979,megawatthours
2024-11-24 13:00:00,NY,New York,WAT,Hydro,2763,megawatthours
2024-11-24 12:00:00,NY,New York,WAT,Hydro,2225,megawatthours
2024-11-24 11:00:00,NY,New York,WAT,Hydro,2318,megawatthours
2024-11-24 10:00:00,NY,New York,WAT,Hydro,2133,megawatthours
2024-11-24 09:00:00,NY,New York,WAT,Hydro,2085,megawatthours
2024-11-24 08:00:00,NY,New York,WAT,Hydro,2027,megawatthours
2024-11-24 07:00:00,NY,New York,WAT,Hydro,1957,megawatthours
2024-11-24 06:00:00,NY,New York,WAT,Hydro,1951,megawatthours
2024-11-24 05:00:00,NY,New York,WAT,Hydro,2200,megawatthours
2024-11-24 04:00:00,NY,New York,WAT,Hydro,2614,megawatthours
2024-11-24 03:00:00,NY,New York,WAT,Hydro,2734,megawatthours
2024-11-24 02:00:00,NY,New York,WAT,Hydro,2329,megawatthours
2024-11-24 01:00:00,NY,New York,WAT,Hydro,2948,megawatthours
2024-11-24 00:00:00,NY,New York,WAT,Hydro,3202,megawatthours
2024-11-23 23:00:00,NY,New York,WAT,Hydro,3376,megawatthours
2024-11-23 22:00:00,NY,New York,WAT,Hydro,3024,megawatthours
2024-11-23 21:00:00,NY,New York,WAT,Hydro,3012,megawatthours
2024-11-23 20:00:00,NY,New York,WAT,Hydro,3008,megawatthours
2024-11-23 19:00:00,NY,New York,WAT,Hydro,2993,megawatthours
2024-11-23 18:00:00,NY,New York,WAT,Hydro,3099,megawatthours
2024-11-23 17:00:00,NY,New York,WAT,Hydro,3047,megawatthours
2024-11-23 16:00:00,NY,New York,WAT,Hydro,3059,megawatthours
2024-11-23 15:00:00,NY,New York,WAT,Hydro,3119,megawatthours
2024-11-23 14:00:00,NY,New York,WAT,Hydro,3012,megawatthours
2024-11-23 13:00:00,NY,New York,WAT,Hydro,2801,megawatthours
2024-11-23 12:00:00,NY,New York,WAT,Hydro,2321,megawatthours
2024-11-23 11:00:00,NY,New York,WAT,Hydro,2142,megawatthours
2024-11-23 10:00:00,NY,New York,WAT,Hydro,2020,megawatthours
2024-11-23 09:00:00,NY,New York,WAT,Hydro,1987,megawatthours
2024-11-23 08:00:00,NY,New York,WAT,Hydro,2035,megawatthours
2024-11-23 07:00:00,NY,New York,WAT,Hydro,2021,megawatthours
2024-11-23 06:00:00,NY,New York,WAT,Hydro,2106,megawatthours
2024-11-23 05:00:00,NY,New York,WAT,Hydro,2260,megawatthours
2024-11-23 04:00:00,NY,New York,WAT,Hydro,2766,megawatthours
2024-11-23 03:00:00,NY,New York,WAT,Hydro,3116,megawatthours
2024-11-23 02:00:00,NY,New York,WAT,Hydro,3206,megawatthours
2024-11-23 01:00:00,NY,New York,WAT,Hydro,3455,megawatthours
2024-11-23 00:00:00,NY,New York,WAT,Hydro,3590,megawatthours
2024-11-22 23:00:00,NY,New York,WAT,Hydro,3791,megawatthours
2024-11-22 22:00:00,NY,New York,WAT,Hydro,3478,megawatthours
2024-11-22 21:00:00,NY,New York,WAT,Hydro,3303,megawatthours
2024-11-22 20:00:00,NY,New York,WAT,Hydro,3234,megawatthours
2024-11-22 19:00:00,NY,New York,WAT,Hydro,3148,megawatthours
2024-11-22 18:00:00,NY,New York,WAT,Hydro,3112,megawatthours
2024-11-22 17:00:00,NY,New York,WAT,Hydro,3121,megawatthours
2024-11-22 16:00:00,NY,New York,WAT,Hydro,3162,megawatthours
2024-11-22 15:00:00,NY,New York,WAT,Hydro,3050,megawatthours
2024-11-22 14:00:00,NY,New York,WAT,Hydro,3045,megawatthours
2024-11-22 13:00:00,NY,New York,WAT,Hydro,3040,megawatthours
2024-11-22 12:00:00,NY,New York,WAT,Hydro,2446,megawatthours
2024-11-22 11:00:00,NY,New York,WAT,Hydro,2054,megawatthours
2024-11-22 10:00:00,NY,New York,WAT,Hydro,1875,megawatthours
2024-11-22 09:00:00,NY,New York,WAT,Hydro,1887,megawatthours
2024-11-22 08:00:00,NY,New York,WAT,Hydro,1885,megawatthours
2024-11-22 07:00:00,NY,New York,WAT,Hydro,1859,megawatthours
2024-11-22 06:00:00,NY,New York,WAT,Hydro,1978,megawatthours
2024-11-22 05:00:00,NY,New York,WAT,Hydro,2159,megawatthours
2024-11-22 04:00:00,NY,New York,WAT,Hydro,2742,megawatthours
2024-11-22 03:00:00,NY,New York,WAT,Hydro,3080,megawatthours
2024-11-22 02:00:00,NY,New York,WAT,Hydro,3306,megawatthours
2024-11-22 01:00:00,NY,New York,WAT,Hydro,3408,megawatthours
2024-11-22 00:00:00,NY,New York,WAT,Hydro,3473,megawatthours
2024-11-21 23:00:00,NY,New York,WAT,Hydro,3615,megawatthours
2024-11-21 22:00:00,NY,New York,WAT,Hydro,3371,megawatthours
2024-11-21 21:00:00,NY,New York,WAT,Hydro,3154,megawatthours
2024-11-21 20:00:00,NY,New York,WAT,Hydro,3290,megawatthours
2024-11-21 19:00:00,NY,New York,WAT,Hydro,3110,megawatthours
2024-11-21 18:00:00,NY,New York,WAT,Hydro,3122,megawatthours
2024-11-21 17:00:00,NY,New York,WAT,Hydro,3087,megawatthours
2024-11-21 16:00:00,NY,New York,WAT,Hydro,3050,megawatthours
2024-11-21 15:00:00,NY,New York,WAT,Hydro,2968,megawatthours
2024-11-21 14:00:00,NY,New York,WAT,Hydro,3010,megawatthours
2024-11-21 13:00:00,NY,New York,WAT,Hydro,3062,megawatthours
2024-11-21 12:00:00,NY,New York,WAT,Hydro,2539,megawatthours
2024-11-21 11:00:00,NY,New York,WAT,Hydro,2112,megawatthours
2024-11-21 10:00:00,NY,New York,WAT,Hydro,2163,megawatthours
2024-11-21 09:00:00,NY,New York,WAT,Hydro,2079,megawatthours
2024-11-21 08:00:00,NY,New York,WAT,Hydro,2064,megawatthours
2024-11-21 07:00:00,NY,New York,WAT,Hydro,2120,megawatthours
2024-11-21 06:00:00,NY,New York,WAT,Hydro,2034,megawatthours
2024-11-21 05:00:00,NY,New York,WAT,Hydro,2001,megawatthours
2024-11-21 04:00:00,NY,New York,WAT,Hydro,2425,megawatthours
2024-11-21 03:00:00,NY,New York,WAT,Hydro,2745,megawatthours
2024-11-21 02:00:00,NY,New York,WAT,Hydro,2734,megawatthours
2024-11-21 01:00:00,NY,New York,WAT,Hydro,3064,megawatthours
2024-11-21 00:00:00,NY,New York,WAT,Hydro,3165,megawatthours
2024-11-20 23:00:00,NY,New York,WAT,Hydro,3194,megawatthours
2024-11-20 22:00:00,NY,New York,WAT,Hydro,3138,megawatthours
2024-11-20 21:00:00,NY,New York,WAT,Hydro,2998,megawatthours
2024-11-20 20:00:00,NY,New York,WAT,Hydro,3003,megawatthours
2024-11-20 19:00:00,NY,New York,WAT,Hydro,2908,megawatthours
2024-11-20 18:00:00,NY,New York,WAT,Hydro,2892,megawatthours
2024-11-20 17:00:00,NY,New York,WAT,Hydro,2875,megawatthours
2024-11-20 16:00:00,NY,New York,WAT,Hydro,2911,megawatthours
2024-11-20 15:00:00,NY,New York,WAT,Hydro,3060,megawatthours
2024-11-20 14:00:00,NY,New York,WAT,Hydro,3128,megawatthours
2024-11-20 13:00:00,NY,New York,WAT,Hydro,3127,megawatthours
2024-11-20 12:00:00,NY,New York,WAT,Hydro,2343,megawatthours
2024-11-20 11:00:00,NY,New York,WAT,Hydro,1954,megawatthours
